aspectRatio,autoPlay,background,derivatives,detailUrl,download,mediaObjectId,mediaType,metadata,mimetype,shortName,source_url,title,source_height,scaleFactor_levels,source_size,source_width,resource_url,resource_num,segment_num,id,info,iiif_url,other_name
4:3,False,,[{'derivativeUrl': None}],https://www.loc.gov/item/afc1939007.afc1939007_afs02485b/,https://tile.loc.gov/storage-services/media/afc/lomax/afc1939007_afs02485b.mp3,0589F4F8090805A4E0538C93F02805A4,A,"['Boogie woogie', 'Detroit, MI, November 1, 1938']",application/x-audio,Boogie woogie,http://lx16.loc.gov/data-management-tool/export_group_xml/afc1939007/afc1939007_afs02485b.xml,,,,,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02485b/,0,0,http://www.loc.gov/item/afc1939007_afs02485b/,,,
,,,,,,,,,audio/mp3,,https://tile.loc.gov/storage-services/media/afc/lomax/afc1939007_afs02485b.mp3,,,,,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02485b/,0,0,http://www.loc.gov/item/afc1939007_afs02485b/,,,
,,,,,,,,,application/json,,,Boogie woogie,,,,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02485b/,0,0,http://www.loc.gov/item/afc1939007_afs02485b/,,,
,,,,,,,,,audio/wav,,https://tile.loc.gov/storage-services/master/afc/afc1939007/afc1939007_afs02485b.wav,,,1.0,27082884.0,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02485b/,0,0,http://www.loc.gov/item/afc1939007_afs02485b/,,,
4:3,False,,[{'derivativeUrl': None}],https://www.loc.gov/item/afc1939007.afc1939007_afs02485a/,https://tile.loc.gov/storage-services/media/afc/lomax/afc1939007_afs02485a.mp3,0589F4F2FC9701AEE0538C93F02801AE,A,"['Dirty dozen', 'Detroit, MI, November 1, 1938']",application/x-audio,Dirty dozen,http://lx16.loc.gov/data-management-tool/export_group_xml/afc1939007/afc1939007_afs02485a.xml,,,,,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02485a/,0,0,http://www.loc.gov/item/afc1939007_afs02485a/,,,
,,,,,,,,,audio/mp3,,https://tile.loc.gov/storage-services/media/afc/lomax/afc1939007_afs02485a.mp3,,,,,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02485a/,0,0,http://www.loc.gov/item/afc1939007_afs02485a/,,,
,,,,,,,,,application/json,,,Dirty dozen,,,,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02485a/,0,0,http://www.loc.gov/item/afc1939007_afs02485a/,,,
,,,,,,,,,audio/wav,,https://tile.loc.gov/storage-services/master/afc/afc1939007/afc1939007_afs02485a.wav,,,1.0,34111620.0,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02485a/,0,0,http://www.loc.gov/item/afc1939007_afs02485a/,,,
4:3,False,,[{'derivativeUrl': None}],https://www.loc.gov/item/afc1939007.afc1939007_afs02484b/,https://tile.loc.gov/storage-services/media/afc/lomax/afc1939007_afs02484b.mp3,0589F4EDA9F606C2E0538C93F02806C2,A,"[""She's a double-crossing woman"", 'Detroit, MI, November 1, 1938']",application/x-audio,She's a double-crossing woman,http://lx16.loc.gov/data-management-tool/export_group_xml/afc1939007/afc1939007_afs02484b.xml,,,,,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02484b/,0,0,http://www.loc.gov/item/afc1939007_afs02484b/,,,
,,,,,,,,,audio/mp3,,https://tile.loc.gov/storage-services/media/afc/lomax/afc1939007_afs02484b.mp3,,,,,,https://www.loc.gov/resource/afc1939007.afc1939007_afs02484b/,0,0,http://www.loc.gov/item/afc1939007_afs02484b/,,,
