access_restricted,aka.0,aka.1,aka.2,contributor.0,date,dates.0,digitized,extract_timestamp,group.0,hassegments,id,image_url.0,image_url.1,image_url.2,index,item.call_number.0,item.contributors.0,item.contributors.1,item.created_published.0,item.date,item.digital_id.0,item.format,item.genre.0,item.language.0,item.location.0,item.notes.0,item.notes.1,item.related_items.0.title,item.related_items.0.url,item.repository,item.rights,item.source_collection,item.subjects.0,item.subjects.1,item.title,language.0,location.0,location.1,location.2,mime_type.0,mime_type.1,number.0,number_former_id.0,online_format.0,original_format.0,partof.0,partof.1,partof.2,resources.0.caption,resources.0.files,resources.0.image,resources.0.paprika_resource_path,resources.0.url,resources.0.version,shelf_id,subject.0,timestamp,title,type.0,url,contributor.1,item.language,item.notes.2,item.call_number.1,contributor.2,contributor.3,item.contributors.2,item.contributors.3,item.notes.3,item.notes.4,item.call_number.2,item.other_title.0,other_title.0,item.notes.5,item.other_title.1,other_title.1,item.other_title.2,other_title.2,item.other_title.3,other_title.3,item.other_title.4,other_title.4,location.3,item.call_number.3,item.call_number.4,item.call_number.5,item.notes.6,contributor.4,item.contributors.4,item.notes.7,group.1,item.genre.1,item.medium.0,item.subjects.2,item.subjects.3,item.subjects.4,partof.3,resources.0.media_object_id,subject.1,subject.2,subject.3,subject.4,type,item.language.1,language.1,item.subjects.5,subject.5,item.location.1,item.subjects.6,location.4,item.genre.2,aka.3,resources.1.files,resources.1.url
False,http://www.loc.gov/item/afc9999005.33927/,https://hdl.loc.gov/loc.afc/afc9999005.33927,http://www.loc.gov/resource/afc.afc9999005-33927/,"lomax, alan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33927/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33927:0955/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33927:0955/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33927:0955/full/pct:100.0/0/default.jpg#h=892&w=1488,1,AFS Number: AFS 02238 A01,"Lomax, Alan (1915-2002) (Recordist)","Lomax, Alan (1915-2002) (Speaker)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33927,still image,card catalogs,eng,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.",Announcement,Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Announcement,english,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33927.0,http://www.loc.gov/resource/afc9999005.33927.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33927:0955/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33927,https://www.loc.gov/resource/afc.afc9999005-33927/,2.0,AFS Number: AFS 02238 A01,card catalogs,2024-07-10T11:26:43.223Z,Announcement,still image,https://www.loc.gov/item/afc9999005.33927/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,https://hdl.loc.gov/loc.afc/afc9999005.33928,http://www.loc.gov/resource/afc.afc9999005-33928/,http://www.loc.gov/item/afc9999005.33928/,"lomax, alan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33928/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33928:0956/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33928:0956/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33928:0956/full/pct:100.0/0/default.jpg#h=892&w=1488,2,AFS Number: AFS 02238 A02,"Lomax, Alan (1915-2002) (Recordist)","Trivanovi[ ], Stefan (Performer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33928,still image,card catalogs,,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.",Instrument: Svirala (flute),Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Pastirska pesma,english,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33928.0,http://www.loc.gov/resource/afc9999005.33928.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33928:0956/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33928,https://www.loc.gov/resource/afc.afc9999005-33928/,2.0,AFS Number: AFS 02238 A02,card catalogs,2024-07-10T11:26:43.223Z,Pastirska pesma,still image,https://www.loc.gov/item/afc9999005.33928/,"trivanovi[ ], stefan",eng,Statement of responsibility: Played by Stefan Trivanovic on the svirale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,https://hdl.loc.gov/loc.afc/afc9999005.33929,http://www.loc.gov/resource/afc.afc9999005-33929/,http://www.loc.gov/item/afc9999005.33929/,"lomax, alan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33929/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33929:0957/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33929:0957/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33929:0957/full/pct:100.0/0/default.jpg#h=892&w=1488,3,AFS Number: AFS 02238 A03,"Lomax, Alan (1915-2002) (Recordist)","Trivanovi[ ], Stefan (Performer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33929,still image,card catalogs,,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.",Instrument: Svirala (flute),Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Narodho kolo,english,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33929.0,http://www.loc.gov/resource/afc9999005.33929.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33929:0957/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33929,https://www.loc.gov/resource/afc.afc9999005-33929/,2.0,AFS Number: AFS 02238 A03,card catalogs,2024-07-10T11:26:43.223Z,Narodho kolo,still image,https://www.loc.gov/item/afc9999005.33929/,"trivanovi[ ], stefan",eng,Statement of responsibility: Played by Stefan Trivanovic on the svirale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,http://www.loc.gov/resource/afc.afc9999005-33930/,https://hdl.loc.gov/loc.afc/afc9999005.33930,http://www.loc.gov/item/afc9999005.33930/,"lomax, alan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33930/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33930:0958/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33930:0958/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33930:0958/full/pct:100.0/0/default.jpg#h=892&w=1488,4,AFS Number: AFS 02238 B01,"Lomax, Alan (1915-2002) (Recordist)","Trivanovi[ ], Stefan (Performer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33930,still image,card catalogs,,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.",Instrument: Svirala (flute),Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Pastirska pesma,english,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33930.0,http://www.loc.gov/resource/afc9999005.33930.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33930:0958/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33930,https://www.loc.gov/resource/afc.afc9999005-33930/,2.0,AFS Number: AFS 02238 B01,card catalogs,2024-07-10T11:26:43.223Z,Pastirska pesma,still image,https://www.loc.gov/item/afc9999005.33930/,"trivanovi[ ], stefan",eng,Statement of responsibility: Played by Stefan Trivanovic on the svirale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,http://www.loc.gov/item/afc9999005.33931/,http://www.loc.gov/resource/afc.afc9999005-33931/,https://hdl.loc.gov/loc.afc/afc9999005.33931,"lomax, alan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33931/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33931:0959/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33931:0959/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33931:0959/full/pct:100.0/0/default.jpg#h=892&w=1488,5,AFS Number: AFS 02238 B02,"Lomax, Alan (1915-2002) (Recordist)","Tomi[ ], Pajo (Performer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33931,still image,card catalogs,cze,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.",Instrument: Gusle,Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Pensa o bojo srba,czech,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33931.0,http://www.loc.gov/resource/afc9999005.33931.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33931:0959/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33931,https://www.loc.gov/resource/afc.afc9999005-33931/,2.0,AFS Number: AFS 02238 B02,card catalogs,2024-07-10T11:26:43.223Z,Pensa o bojo srba,still image,https://www.loc.gov/item/afc9999005.33931/,"tomi[ ], pajo",,Statement of responsibility: Sung by Pajo Tomic and played on the gusle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,http://www.loc.gov/resource/afc.afc9999005-33932/,https://hdl.loc.gov/loc.afc/afc9999005.33932,http://www.loc.gov/item/afc9999005.33932/,"lomax, alan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33932/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33932:0960/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33932:0960/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33932:0960/full/pct:100.0/0/default.jpg#h=892&w=1488,6,AFS Number: AFS 02239 A,"Lomax, Alan (1915-2002) (Recordist)","Tomi[ ], Pajo (Performer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33932,still image,card catalogs,cze,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.",Instrument: Gusle,Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Guslarski ep,czech,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33932.0,http://www.loc.gov/resource/afc9999005.33932.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33932:0960/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33932,https://www.loc.gov/resource/afc.afc9999005-33932/,2.0,AFS Number: AFS 02239 A AFS Number: AFS 02239 B,card catalogs,2024-07-10T11:26:43.223Z,Guslarski ep,still image,https://www.loc.gov/item/afc9999005.33932/,"tomi[ ], pajo",,Statement of responsibility: Sung by Pajo Tomic and played on the gusle.,AFS Number: AFS 02239 B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,http://www.loc.gov/resource/afc.afc9999005-33933/,https://hdl.loc.gov/loc.afc/afc9999005.33933,http://www.loc.gov/item/afc9999005.33933/,"basrak, stjepan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33933/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33933:0961/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33933:0961/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33933:0961/full/pct:100.0/0/default.jpg#h=892&w=1488,7,AFS Number: AFS 02240 A,"Lomax, Alan (1915-2002) (Recordist)","Basrak, Stjepan (Singer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33933,still image,card catalogs,cze,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.","Statement of responsibility: Sung by Stjepan Basrak, Petar Bangac, Stjepan Vujanovic.",Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Salaska narodna pesma,czech,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33933.0,http://www.loc.gov/resource/afc9999005.33933.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33933:0961/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33933,https://www.loc.gov/resource/afc.afc9999005-33933/,2.0,AFS Number: AFS 02240 A,card catalogs,2024-07-10T11:26:43.223Z,Salaska narodna pesma,still image,https://www.loc.gov/item/afc9999005.33933/,"vujanovi[ ], stjepan",,,,"lomax, alan","bangac, petar","Bangac, Petar (Singer)","Vujanovi[ ], Stjepan (Singer)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,https://hdl.loc.gov/loc.afc/afc9999005.33934,http://www.loc.gov/item/afc9999005.33934/,http://www.loc.gov/resource/afc.afc9999005-33934/,"basrak, stjepan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33934/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33934:0962/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33934:0962/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33934:0962/full/pct:100.0/0/default.jpg#h=892&w=1488,8,AFS Number: AFS 02240 B,"Lomax, Alan (1915-2002) (Recordist)","Basrak, Stjepan (Singer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33934,still image,card catalogs,cze,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.","Statement of responsibility: Sung by Stjepan Basrak, Petar Bangac, Stjepan Vujanovic.",Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Kraljevic marko,czech,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33934.0,http://www.loc.gov/resource/afc9999005.33934.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33934:0962/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33934,https://www.loc.gov/resource/afc.afc9999005-33934/,2.0,AFS Number: AFS 02240 B,card catalogs,2024-07-10T11:26:43.223Z,Kraljevic marko,still image,https://www.loc.gov/item/afc9999005.33934/,"vujanovi[ ], stjepan",,,,"lomax, alan","bangac, petar","Bangac, Petar (Singer)","Vujanovi[ ], Stjepan (Singer)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,http://www.loc.gov/resource/afc.afc9999005-33935/,https://hdl.loc.gov/loc.afc/afc9999005.33935,http://www.loc.gov/item/afc9999005.33935/,"basrak, stjepan",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33935/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33935:0963/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33935:0963/full/pct:50.0/0/default.jpg#h=446&w=744,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33935:0963/full/pct:100.0/0/default.jpg#h=892&w=1488,9,AFS Number: AFS 02241 A,"Lomax, Alan (1915-2002) (Recordist)","Basrak, Stjepan (Singer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33935,still image,card catalogs,cze,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.",Statement of responsibility: Sung by Stjepan Basrak.,Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Dolinom se setala,czech,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33935.0,http://www.loc.gov/resource/afc9999005.33935.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33935:0963/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33935,https://www.loc.gov/resource/afc.afc9999005-33935/,2.0,AFS Number: AFS 02241 A,card catalogs,2024-07-10T11:26:43.223Z,Dolinom se setala,still image,https://www.loc.gov/item/afc9999005.33935/,"lomax, alan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,https://hdl.loc.gov/loc.afc/afc9999005.33936,http://www.loc.gov/item/afc9999005.33936/,http://www.loc.gov/resource/afc.afc9999005-33936/,"dobrican, lazar",1938-09,1938-09,True,2024-07-10T09:17:26.501Z,paprika-afc,False,http://www.loc.gov/item/afc9999005.33936/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33936:0964/full/pct:50.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33936:0964/full/pct:50.0/0/default.jpg#h=446&w=735,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33936:0964/full/pct:100.0/0/default.jpg#h=892&w=1470,10,AFS Number: AFS 02241 B01,"Lomax, Alan (1915-2002) (Recordist)","Dobrican, Lazar (Singer)","Detroit, Michigan",19380900,https://hdl.loc.gov/loc.afc/afc9999005.33936,still image,card catalogs,cze,United States of America -- Michigan -- Detroit,"This is a digitized catalog card, not an audio recording.",Statement of responsibility: Sung by Lazar Dobrican.,Alan Lomax Collection of Michigan and Wisconsin Recordings (AFC 1939/007),https://lccn.loc.gov/2008700315,american folklife center,No known restrictions on use or reproduction.,Traditional Music and Spoken Word Card Catalog,United States of America -- Michigan -- Detroit,card catalogs,Drina,czech,detroit,michigan,united states,image/jpeg,image/jp2,http://www.loc.gov/resource/afc9999005.33936.0,http://www.loc.gov/resource/afc9999005.33936.0,image,"photo, print, drawing",alan lomax collection of michigan and wisconsin recordings,american folklife center,traditional music and spoken word card catalog,Card catalog image,1,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33936:0964/full/pct:50.0/0/default.jpg,/sets/afc/afc9999005-33936,https://www.loc.gov/resource/afc.afc9999005-33936/,2.0,AFS Number: AFS 02241 B01,card catalogs,2024-07-10T11:26:43.223Z,Drina,still image,https://www.loc.gov/item/afc9999005.33936/,"lomax, alan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
