B                                A
2.40                             .54
1.20                           1.40
  .50                           1.05
1.56                           2.05
1.31                             .35
1.04                           1.05
1.20                           2.19
2.17                           1.40
1.58                          12.23
14.56                        14.56
                                 27.19

C                                  D
2.58                           1.21
  .55                           1.21
2.06                           1.50
1.00                             .55
1.55                             .45
1.55                           1.27
  .45                           1.44
1.25                           2.17
2.17                           1.47
15.16                        13.27 

Transcribed and reviewed by volunteers participating in the By The People project at crowd.loc.gov.
